,intitule,rome,score,X1,X2,cluster
202,Service en restauration,G1803,,16.2626080418264,69.13208380149861,28
203,Sommellerie,G1804,,18.520972033162398,63.9758648307448,8
204,Assistance et support technique client,H1101,,23.2076472203533,-5.22637513495332,59
205,Management et ingénierie d'affaires,H1102,,30.4014584115479,11.4033909754785,60
206,Expertise technique couleur en industrie,H1201,,-20.425483434446498,-55.016562567847096,61
207,Conception et dessin de produits électriques et électroniques,H1202,,17.1771968883507,-18.127449735905603,62
208,Conception et dessin produits mécaniques,H1203,,18.6501458088629,-16.4015339644758,63
209,Design industriel,H1204,,-44.0627348794174,-41.1557739674073,16
210,Études - modèles en industrie des matériaux souples,H1205,,-39.92276604656929,-64.5179831631398,15
211,"Management et ingénierie études, recherche et développement industriel",H1206,,24.8026007950565,-9.81785179899318,64
212,Rédaction technique,H1207,,23.586454001476497,-8.97283334959562,64
213,Intervention technique en études et conception en automatisme,H1208,,14.348483198815998,-21.069743894209,62
214,Intervention technique en études et développement électronique,H1209,,16.4504343975137,-18.8937443559251,62
215,"Intervention technique en études, recherche et développement",H1210,,15.8325287413363,-10.702577114836402,65
216,Inspection de conformité,H1301,,-0.68783215982711,-45.7751993613499,66
217,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels,H1302,,31.646818879093104,-12.0572726856303,3
218,Intervention technique en Hygiène Sécurité Environnement -HSE- industriel,H1303,,31.701397889752002,-11.474464264070802,3
219,Management et ingénierie gestion industrielle et logistique,H1401,,34.8193621782616,-25.6923211233208,67
220,Management et ingénierie méthodes et industrialisation,H1402,,35.3547317189736,-22.757387396868,67
221,Intervention technique en gestion industrielle et logistique,H1403,,34.2896405124923,-25.618708325361098,67
222,Intervention technique en méthodes et industrialisation,H1404,,19.646432419148,-15.8398625046848,63
223,Direction de laboratoire d'analyse industrielle,H1501,,18.1308317010899,-12.4646795138538,65
224,Management et ingénierie qualité industrielle,H1502,,21.4566650264657,-15.894695575624402,63
225,Intervention technique en laboratoire d'analyse industrielle,H1503,,14.4455129726806,-10.1226930792854,65
226,Intervention technique en contrôle essai qualité en électricité et électronique,H1504,,3.71810800549785,-30.1589840672383,13
